time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-16 00:00:00+00:00,13,3,1.0,1.0
2025-10-17 00:00:00+00:00,9,1,10.0,2.0
2025-10-18 00:00:00+00:00,13,4,4.0,2.0
2025-10-19 00:00:00+00:00,10,2,,
2025-10-20 00:00:00+00:00,11,3,4.0,1.0
2025-10-21 00:00:00+00:00,9,1,9.0,2.0
2025-10-22 00:00:00+00:00,10,2,2.0,1.0
2025-10-23 00:00:00+00:00,11,1,7.0,2.0
2025-10-24 00:00:00+00:00,10,2,,
2025-10-25 00:00:00+00:00,11,3,2.0,2.0
2025-10-26 00:00:00+00:00,9,1,4.0,2.0
2025-10-27 00:00:00+00:00,10,2,1.0,1.0
2025-10-28 00:00:00+00:00,10,2,2.0,2.0
2025-10-29 00:00:00+00:00,9,1,,
