time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-27 00:00:00+00:00,7,2,2.0,1.0
2024-09-28 00:00:00+00:00,6,1,2.0,2.0
2024-09-29 00:00:00+00:00,6,1,,
2024-09-30 00:00:00+00:00,6,1,15.0,4.0
2024-10-01 00:00:00+00:00,6,1,10.0,1.0
2024-10-02 00:00:00+00:00,6,1,6.0,4.0
2024-10-03 00:00:00+00:00,7,1,6.0,2.0
2024-10-04 00:00:00+00:00,6,1,,
2024-10-05 00:00:00+00:00,7,2,,
2024-10-06 00:00:00+00:00,6,1,,
2024-10-07 00:00:00+00:00,6,1,13.0,2.0
2024-10-08 00:00:00+00:00,6,1,16.0,3.0
2024-10-09 00:00:00+00:00,7,2,24.0,1.0
2024-10-10 00:00:00+00:00,1,1,76.0,10.0
