time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-11 00:00:00+00:00,,,19.0,2.0
2024-10-13 00:00:00+00:00,,,1.0,1.0
2024-10-14 00:00:00+00:00,,,43.0,9.0
2024-10-15 00:00:00+00:00,1.0,1.0,29.0,6.0
2024-10-16 00:00:00+00:00,,,23.0,5.0
2024-10-17 00:00:00+00:00,1.0,1.0,5.0,1.0
2024-10-18 00:00:00+00:00,,,1.0,1.0
2024-10-19 00:00:00+00:00,,,1.0,1.0
2024-10-21 00:00:00+00:00,1.0,1.0,15.0,2.0
2024-10-22 00:00:00+00:00,,,5.0,2.0
2024-10-23 00:00:00+00:00,,,9.0,4.0
2024-10-24 00:00:00+00:00,1.0,1.0,,
