time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-23 00:00:00+00:00,0,0,3,3
2026-01-24 00:00:00+00:00,1,1,3,1
2026-01-25 00:00:00+00:00,0,0,1,1
2026-01-26 00:00:00+00:00,1,1,4,4
2026-01-27 00:00:00+00:00,0,0,18,5
2026-01-28 00:00:00+00:00,0,0,3,2
2026-01-29 00:00:00+00:00,2,1,6,4
2026-01-30 00:00:00+00:00,1,1,9,4
2026-01-31 00:00:00+00:00,0,0,2,2
2026-02-01 00:00:00+00:00,1,1,3,2
2026-02-02 00:00:00+00:00,0,0,4,3
2026-02-03 00:00:00+00:00,2,2,25,4
2026-02-04 00:00:00+00:00,3,2,3,3
2026-02-05 00:00:00+00:00,4,3,31,6
