time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-07 00:00:00+00:00,8,1,,
2025-01-08 00:00:00+00:00,27,2,15.0,4.0
2025-01-09 00:00:00+00:00,27,1,16.0,4.0
2025-01-10 00:00:00+00:00,8,1,,
2025-01-11 00:00:00+00:00,8,1,,
2025-01-12 00:00:00+00:00,9,2,,
2025-01-13 00:00:00+00:00,8,1,,
2025-01-14 00:00:00+00:00,8,1,12.0,3.0
2025-01-15 00:00:00+00:00,8,1,1.0,1.0
2025-01-16 00:00:00+00:00,21,3,16.0,3.0
2025-01-17 00:00:00+00:00,8,1,,
2025-01-18 00:00:00+00:00,11,4,,
2025-01-19 00:00:00+00:00,8,1,,
2025-01-20 00:00:00+00:00,8,1,,
