time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,40,9,7,3
2026-06-18 00:00:00+00:00,16,4,1,1
2026-06-19 00:00:00+00:00,18,2,0,0
2026-06-20 00:00:00+00:00,24,6,4,2
2026-06-21 00:00:00+00:00,14,2,0,0
2026-06-22 00:00:00+00:00,17,4,0,0
2026-06-23 00:00:00+00:00,16,4,0,0
2026-06-24 00:00:00+00:00,14,2,1,1
2026-06-25 00:00:00+00:00,14,2,3,2
2026-06-26 00:00:00+00:00,16,2,0,0
2026-06-27 00:00:00+00:00,19,3,0,0
2026-06-28 00:00:00+00:00,13,1,1,1
2026-06-29 00:00:00+00:00,22,3,5,2
2026-06-30 00:00:00+00:00,14,2,0,0
