url_path,views_total,views_unique
/cicsdev/cics-java-liberty-springboot-jcics,15,9
/cicsdev/cics-java-liberty-springboot-jcics/tree/main/src/main,11,3
/cicsdev/cics-java-liberty-springboot-jcics/tree/main,11,2
/cicsdev/cics-java-liberty-springboot-jcics/tree/main/src/main/java/com/ibm/cicsdev/springboot/jcics,8,3
/cicsdev/cics-java-liberty-springboot-jcics/blob/main/pom.xml,6,3
/cicsdev/cics-java-liberty-springboot-jcics/tree/main/src/main/webapp/WEB-INF,6,1
/cicsdev/cics-java-liberty-springboot-jcics/pull/10,3,3
/cicsdev/cics-java-liberty-springboot-jcics/blob/main/src/main/webapp/WEB-INF/web.xml,3,1
/cicsdev/cics-java-liberty-springboot-jcics/blob/main/src/main/java/com/ibm/cicsdev/springboot/jcics/Application.java,2,2
/cicsdev/cics-java-liberty-springboot-jcics/pull/10/files,2,2
