time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-28 00:00:00+00:00,7,1,,
2024-12-29 00:00:00+00:00,6,1,,
2024-12-30 00:00:00+00:00,6,1,,
2024-12-31 00:00:00+00:00,6,1,,
2025-01-01 00:00:00+00:00,6,1,9.0,1.0
2025-01-02 00:00:00+00:00,6,1,1.0,1.0
2025-01-03 00:00:00+00:00,6,1,,
2025-01-04 00:00:00+00:00,7,1,,
2025-01-05 00:00:00+00:00,6,1,,
2025-01-06 00:00:00+00:00,15,3,36.0,4.0
2025-01-07 00:00:00+00:00,10,1,16.0,1.0
2025-01-08 00:00:00+00:00,10,1,3.0,2.0
2025-01-09 00:00:00+00:00,6,1,5.0,1.0
2025-01-10 00:00:00+00:00,6,1,1.0,1.0
