time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-05 00:00:00+00:00,,,22,1
2025-04-06 00:00:00+00:00,,,1,1
2025-04-07 00:00:00+00:00,3.0,3.0,27,7
2025-04-08 00:00:00+00:00,2.0,1.0,67,13
2025-04-09 00:00:00+00:00,2.0,2.0,69,13
2025-04-10 00:00:00+00:00,,,40,15
2025-04-11 00:00:00+00:00,3.0,3.0,51,13
2025-04-12 00:00:00+00:00,,,16,3
2025-04-13 00:00:00+00:00,1.0,1.0,8,1
2025-04-14 00:00:00+00:00,,,74,12
2025-04-15 00:00:00+00:00,,,38,12
2025-04-16 00:00:00+00:00,,,52,9
2025-04-17 00:00:00+00:00,1.0,1.0,7,6
2025-04-18 00:00:00+00:00,1.0,1.0,18,5
