url_path,views_total,views_unique
/cicsdev/cics-java-liberty-springboot-transactions/pull/10,46,3
/cicsdev/cics-java-liberty-springboot-transactions,24,10
/cicsdev/cics-java-liberty-springboot-transactions/pulls,21,3
/cicsdev/cics-java-liberty-springboot-transactions/pull/10/commits,17,2
/cicsdev/cics-java-liberty-springboot-transactions/pull/10/changes,12,3
/cicsdev/cics-java-liberty-springboot-transactions/tree/manvi/samples,8,1
/cicsdev/cics-java-liberty-springboot-transactions/pull/10/changes/308c6108c19ba7a8e8f2ba8860b52dbb92c255c7,6,2
/cicsdev/cics-java-liberty-springboot-transactions/tree/main/src/main,4,2
/cicsdev/cics-java-liberty-springboot-transactions/compare,4,1
/cicsdev/cics-java-liberty-springboot-transactions/pull/10/changes/e799d13e736893882645a738004f7e381a608219,4,1
