time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-11 00:00:00+00:00,17,4,0,0
2026-06-12 00:00:00+00:00,41,6,9,3
2026-06-13 00:00:00+00:00,13,1,1,1
2026-06-14 00:00:00+00:00,17,5,0,0
2026-06-15 00:00:00+00:00,45,13,9,5
2026-06-16 00:00:00+00:00,31,4,3,1
2026-06-17 00:00:00+00:00,44,11,6,2
2026-06-18 00:00:00+00:00,14,2,1,1
2026-06-19 00:00:00+00:00,18,3,0,0
2026-06-20 00:00:00+00:00,33,9,1,1
2026-06-21 00:00:00+00:00,43,9,0,0
2026-06-22 00:00:00+00:00,23,5,1,1
2026-06-23 00:00:00+00:00,39,8,0,0
2026-06-24 00:00:00+00:00,16,2,0,0
